contact,month,job,poutcome,clients,deposits,conversion,cost,revenue,profit,roi,profit_per_client
cellular,mar,admin.,nonexistent,104,52,0.5,312,4160,3848,12.333333333333334,37.0
cellular,jun,admin.,nonexistent,184,74,0.40217391304347827,552,5920,5368,9.72463768115942,29.17391304347826
cellular,apr,admin.,nonexistent,427,118,0.27634660421545665,1281,9440,8159,6.369242779078845,19.107728337236534
cellular,apr,technician,nonexistent,238,45,0.18907563025210083,714,3600,2886,4.042016806722689,12.126050420168067
cellular,apr,management,nonexistent,139,21,0.1510791366906475,417,1680,1263,3.028776978417266,9.086330935251798
cellular,jul,retired,nonexistent,208,31,0.14903846153846154,624,2480,1856,2.9743589743589745,8.923076923076923
cellular,aug,retired,nonexistent,246,36,0.14634146341463414,738,2880,2142,2.902439024390244,8.707317073170731
cellular,apr,admin.,failure,130,18,0.13846153846153847,390,1440,1050,2.6923076923076925,8.076923076923077
cellular,apr,services,nonexistent,179,23,0.12849162011173185,537,1840,1303,2.4264432029795158,7.279329608938547
cellular,may,admin.,nonexistent,823,105,0.1275820170109356,2469,8400,5931,2.402187120291616,7.206561360874848
cellular,may,self-employed,nonexistent,110,13,0.11818181818181818,330,1040,710,2.1515151515151514,6.454545454545454
cellular,may,technician,nonexistent,470,52,0.11063829787234042,1410,4160,2750,1.950354609929078,5.851063829787234
cellular,nov,management,failure,101,11,0.10891089108910891,303,880,577,1.9042904290429044,5.712871287128713
cellular,may,management,nonexistent,212,23,0.10849056603773585,636,1840,1204,1.8930817610062893,5.679245283018868
cellular,may,technician,failure,204,21,0.10294117647058823,612,1680,1068,1.7450980392156863,5.235294117647059
cellular,nov,technician,failure,138,14,0.10144927536231885,414,1120,706,1.7053140096618358,5.115942028985507
cellular,jul,self-employed,nonexistent,173,17,0.09826589595375723,519,1360,841,1.6204238921001928,4.861271676300578
cellular,apr,blue-collar,nonexistent,364,35,0.09615384615384616,1092,2800,1708,1.564102564102564,4.6923076923076925
cellular,jul,management,nonexistent,336,32,0.09523809523809523,1008,2560,1552,1.5396825396825398,4.619047619047619
cellular,may,entrepreneur,nonexistent,117,11,0.09401709401709402,351,880,529,1.5071225071225072,4.521367521367521
cellular,jul,admin.,nonexistent,1468,136,0.09264305177111716,4404,10880,6476,1.4704813805631245,4.4114441416893735
cellular,aug,services,nonexistent,252,23,0.09126984126984126,756,1840,1084,1.433862433862434,4.301587301587301
cellular,aug,management,nonexistent,314,28,0.08917197452229299,942,2240,1298,1.3779193205944797,4.13375796178344
cellular,may,services,nonexistent,432,38,0.08796296296296297,1296,3040,1744,1.345679012345679,4.037037037037037
cellular,nov,technician,nonexistent,397,34,0.08564231738035265,1191,2720,1529,1.2837951301427373,3.8513853904282116
cellular,jul,services,nonexistent,662,56,0.08459214501510574,1986,4480,2494,1.255790533736153,3.7673716012084593
cellular,nov,admin.,nonexistent,724,61,0.08425414364640885,2172,4880,2708,1.2467771639042358,3.7403314917127073
cellular,may,blue-collar,nonexistent,1219,102,0.08367514356029532,3657,8160,4503,1.2313371616078752,3.694011484823626
cellular,jul,unemployed,nonexistent,133,11,0.08270676691729323,399,880,481,1.205513784461153,3.6165413533834587
cellular,may,services,failure,236,18,0.07627118644067797,708,1440,732,1.0338983050847457,3.1016949152542375
cellular,aug,self-employed,nonexistent,189,14,0.07407407407407407,567,1120,553,0.9753086419753086,2.925925925925926
cellular,nov,management,nonexistent,394,29,0.07360406091370558,1182,2320,1138,0.9627749576988156,2.8883248730964466
cellular,nov,admin.,failure,193,14,0.07253886010362694,579,1120,541,0.9343696027633851,2.8031088082901556
cellular,apr,blue-collar,failure,166,12,0.07228915662650602,498,960,462,0.927710843373494,2.783132530120482
cellular,nov,self-employed,nonexistent,127,9,0.07086614173228346,381,720,339,0.889763779527559,2.6692913385826773
cellular,aug,admin.,nonexistent,1821,128,0.07029104887424492,5463,10240,4777,0.8744279699798645,2.6232839099395937
cellular,jul,blue-collar,nonexistent,1505,105,0.06976744186046512,4515,8400,3885,0.8604651162790697,2.5813953488372094
cellular,may,management,failure,102,7,0.06862745098039216,306,560,254,0.8300653594771242,2.4901960784313726
cellular,jul,entrepreneur,nonexistent,230,15,0.06521739130434782,690,1200,510,0.7391304347826086,2.217391304347826
cellular,nov,blue-collar,nonexistent,424,27,0.06367924528301887,1272,2160,888,0.6981132075471698,2.0943396226415096
cellular,aug,technician,nonexistent,1681,107,0.06365258774538965,5043,8560,3517,0.6974023398770574,2.092207019631172
cellular,aug,blue-collar,nonexistent,536,34,0.06343283582089553,1608,2720,1112,0.6915422885572139,2.074626865671642
cellular,may,blue-collar,failure,505,32,0.06336633663366337,1515,2560,1045,0.6897689768976898,2.0693069306930694
telephone,jun,retired,nonexistent,128,8,0.0625,384,640,256,0.6666666666666666,2.0
cellular,nov,entrepreneur,nonexistent,181,11,0.06077348066298342,543,880,337,0.6206261510128913,1.861878453038674
cellular,jul,technician,nonexistent,857,52,0.060676779463243874,2571,4160,1589,0.6180474523531699,1.85414235705951
cellular,nov,unemployed,nonexistent,100,6,0.06,300,480,180,0.6,1.8
cellular,may,admin.,failure,417,25,0.05995203836930456,1251,2000,749,0.5987210231814548,1.7961630695443644
telephone,jun,entrepreneur,nonexistent,198,11,0.05555555555555555,594,880,286,0.48148148148148145,1.4444444444444444
telephone,jun,management,nonexistent,284,15,0.0528169014084507,852,1200,348,0.4084507042253521,1.2253521126760563
telephone,jul,admin.,nonexistent,267,14,0.052434456928838954,801,1120,319,0.3982521847690387,1.1947565543071161
telephone,jun,blue-collar,nonexistent,1314,65,0.04946727549467275,3942,5200,1258,0.3191273465246068,0.9573820395738204
telephone,may,entrepreneur,nonexistent,304,15,0.049342105263157895,912,1200,288,0.3157894736842105,0.9473684210526315
cellular,aug,housemaid,nonexistent,187,9,0.0481283422459893,561,720,159,0.28342245989304815,0.8502673796791443
telephone,jun,self-employed,nonexistent,167,8,0.04790419161676647,501,640,139,0.2774451097804391,0.8323353293413174
telephone,jun,technician,nonexistent,611,28,0.04582651391162029,1833,2240,407,0.2220403709765412,0.6661211129296236
cellular,nov,blue-collar,failure,112,5,0.044642857142857144,336,400,64,0.19047619047619047,0.5714285714285714
telephone,jul,services,nonexistent,114,5,0.043859649122807015,342,400,58,0.1695906432748538,0.5087719298245614
telephone,jun,admin.,nonexistent,954,39,0.040880503144654086,2862,3120,258,0.09014675052410902,0.27044025157232704
telephone,may,services,nonexistent,971,39,0.04016477857878476,2913,3120,207,0.07106076210092688,0.21318228630278063
telephone,jul,blue-collar,nonexistent,277,11,0.039711191335740074,831,880,49,0.05896510228640193,0.17689530685920576
telephone,may,housemaid,nonexistent,235,9,0.03829787234042553,705,720,15,0.02127659574468085,0.06382978723404255
cellular,nov,services,nonexistent,237,8,0.03375527426160337,711,640,-71,-0.09985935302390998,-0.29957805907172996
telephone,may,retired,nonexistent,218,7,0.03211009174311927,654,560,-94,-0.1437308868501529,-0.43119266055045874
telephone,may,unemployed,nonexistent,187,6,0.03208556149732621,561,480,-81,-0.1443850267379679,-0.43315508021390375
telephone,jun,unemployed,nonexistent,126,4,0.031746031746031744,378,320,-58,-0.15343915343915343,-0.4603174603174603
telephone,jul,technician,nonexistent,159,5,0.031446540880503145,477,400,-77,-0.16142557651991615,-0.48427672955974843
telephone,may,blue-collar,nonexistent,2393,74,0.03092352695361471,7179,5920,-1259,-0.17537261457027442,-0.5261178437108233
telephone,may,technician,nonexistent,1108,34,0.030685920577617327,3324,2720,-604,-0.18170878459687123,-0.5451263537906137
telephone,may,admin.,nonexistent,1690,51,0.03017751479289941,5070,4080,-990,-0.1952662721893491,-0.5857988165680473
cellular,jul,housemaid,nonexistent,202,6,0.0297029702970297,606,480,-126,-0.2079207920792079,-0.6237623762376238
telephone,may,management,nonexistent,574,16,0.027874564459930314,1722,1280,-442,-0.25667828106852497,-0.7700348432055749
telephone,jun,services,nonexistent,488,13,0.02663934426229508,1464,1040,-424,-0.2896174863387978,-0.8688524590163934
telephone,jun,housemaid,nonexistent,118,3,0.025423728813559324,354,240,-114,-0.3220338983050847,-0.9661016949152542
telephone,may,self-employed,nonexistent,258,3,0.011627906976744186,774,240,-534,-0.689922480620155,-2.0697674418604652
